"JWTR","JWAP","AGEP","COW","OCCP","SEX","MAR","HICOV","SCHL","PINCP","ADJINC","PUMA"
1,73,52,6,2000,2,1,1,21,40000,1007588,11103
1,96,41,6,4230,2,1,1,16,12000,1007588,8303
11,NA,56,6,205,1,1,1,4,21000,1007588,8303
NA,NA,16,NA,NA,2,5,1,13,0,1007588,8303
NA,NA,6,NA,NA,1,5,1,3,NA,1007588,8303
1,96,33,1,4510,2,1,2,18,1000,1007588,11106
1,81,29,1,220,1,1,1,19,88000,1007588,11106
NA,NA,2,NA,NA,2,5,1,NA,NA,1007588,11106
NA,NA,0,NA,NA,2,5,1,NA,NA,1007588,11106
2,146,18,1,4720,2,5,1,18,2000,1007588,8303
1,83,22,1,850,2,5,1,21,40030,1007588,11104
NA,NA,21,NA,NA,1,5,1,19,0,1007588,11104
1,83,21,1,4030,2,5,1,19,9300,1007588,11104
NA,NA,19,1,5120,2,5,1,16,2700,1007588,8303
NA,NA,66,NA,NA,1,1,1,19,10000,1007588,8303
NA,NA,67,NA,NA,2,1,1,22,47000,1007588,8303
1,89,21,5,7140,1,5,1,18,28030,1007588,11106
1,95,32,1,1006,1,5,1,21,99000,1007588,8303
1,110,33,1,800,2,5,1,21,79000,1007588,8303
1,119,28,1,800,1,5,1,21,55000,1007588,8303
NA,NA,94,NA,NA,2,2,1,15,24000,1007588,11106
NA,NA,20,2,9620,1,5,1,19,8000,1007588,11106
NA,NA,88,NA,NA,2,2,1,16,12200,1007588,8303
1,30,58,1,9140,1,1,1,15,26000,1007588,11103
12,119,55,1,8800,2,1,1,16,33600,1007588,11103
NA,NA,77,2,3245,2,3,1,24,4400,1007588,8303
9,155,28,4,2200,1,5,1,22,25000,1007588,8303
NA,NA,81,NA,NA,2,2,1,19,19200,1007588,11106
NA,NA,54,NA,NA,2,3,1,15,0,1007588,11106
NA,NA,80,NA,NA,1,3,1,16,19000,1007588,11106
9,197,20,1,4110,2,5,1,18,14000,1007588,8303
1,89,57,5,5000,2,1,1,21,79100,1007588,11106
1,92,57,5,5000,1,1,1,21,179450,1007588,11106
9,105,32,2,430,2,1,1,21,30000,1007588,8303
9,95,33,1,1410,1,1,1,22,106000,1007588,8303
NA,NA,40,3,2310,2,1,1,22,79000,1007588,11103
NA,NA,38,3,2310,1,1,1,23,78000,1007588,11103
NA,NA,12,NA,NA,1,5,1,10,NA,1007588,11103
NA,NA,10,NA,NA,2,5,1,8,NA,1007588,11103
NA,NA,7,NA,NA,2,5,1,5,NA,1007588,11103
NA,NA,3,NA,NA,1,5,1,1,NA,1007588,11103
1,91,24,1,3645,2,1,1,19,18000,1007588,11106
1,56,24,1,9610,1,1,1,18,38000,1007588,11106
NA,NA,7,NA,NA,1,5,1,5,NA,1007588,11106
NA,NA,3,NA,NA,2,5,1,1,NA,1007588,11106
NA,NA,73,NA,NA,1,5,1,16,0,1007588,11106
11,NA,52,3,4600,2,3,2,16,33000,1007588,8303
1,199,52,4,1050,1,5,1,21,170000,1007588,8303
NA,NA,59,NA,NA,1,5,1,1,1200,1007588,11103
NA,NA,72,NA,NA,2,1,1,6,8700,1007588,11103
NA,NA,76,NA,NA,1,1,1,4,12000,1007588,11103
1,94,31,6,220,1,5,1,21,25000,1007588,11106
NA,NA,73,1,1740,1,1,1,21,23000,1007588,11106
NA,NA,70,NA,NA,2,1,1,19,11200,1007588,11106
NA,NA,43,3,2310,2,3,1,23,80100,1007588,11106
NA,NA,11,NA,NA,1,5,1,8,NA,1007588,11106
NA,NA,8,NA,NA,2,5,1,5,NA,1007588,11106
1,91,28,1,5240,1,5,1,21,66000,1007588,8303
1,99,56,1,5700,2,1,1,18,31200,1007588,8303
1,91,57,1,5240,1,1,1,21,70000,1007588,8303
1,90,41,7,3060,2,1,1,23,250000,1007588,11104
1,97,48,7,4610,1,1,1,24,250000,1007588,11104
NA,NA,11,NA,NA,1,5,1,9,NA,1007588,11104
NA,NA,5,NA,NA,2,5,1,2,NA,1007588,11104
1,74,21,5,9820,1,5,1,18,16000,1007588,11103
NA,NA,54,NA,NA,2,2,1,23,308000,1007588,11106
NA,NA,78,NA,NA,2,3,1,16,43500,1007588,11106
NA,NA,69,6,725,2,1,1,21,15700,1007588,11106
NA,NA,72,7,1300,1,1,1,21,74400,1007588,11106
1,90,46,1,1010,1,1,1,21,426000,1007588,8303
NA,NA,62,NA,NA,2,1,1,16,1300,1007588,8303
1,100,41,1,1760,2,1,1,22,123500,1007588,11104
1,87,42,1,1760,1,1,1,24,108000,1007588,11104
NA,NA,5,NA,NA,2,5,1,2,NA,1007588,11104
NA,NA,2,NA,NA,1,5,1,NA,NA,1007588,11104
1,55,65,1,4250,1,1,1,8,27500,1007588,8303
10,104,63,1,4230,2,1,1,6,27000,1007588,8303
NA,NA,26,1,5620,2,5,1,16,4000,1007588,8303
NA,NA,4,NA,NA,1,5,1,1,NA,1007588,8303
1,99,61,1,8740,2,1,1,2,44000,1007588,11103
NA,NA,60,1,9620,1,1,1,1,38000,1007588,11103
NA,NA,84,NA,NA,2,2,1,1,0,1007588,11103
11,NA,44,4,2840,2,5,1,22,41400,1007588,8303
NA,NA,88,NA,NA,1,1,1,21,55100,1007588,8303
11,NA,79,1,2810,2,1,1,19,59100,1007588,8303
NA,NA,43,1,5700,2,3,1,19,31800,1007588,11104
1,155,23,1,4030,2,5,1,18,16700,1007588,11104
NA,NA,17,NA,NA,1,5,1,14,0,1007588,11104
NA,NA,14,NA,NA,1,5,1,11,NA,1007588,11104
1,92,46,1,1007,1,3,1,21,70000,1007588,11104
1,201,35,2,420,2,5,1,21,48000,1007588,11104
1,128,37,1,4020,1,5,1,16,35000,1007588,11104
1,107,62,6,4510,1,1,2,16,4180,1007588,8303
1,102,60,1,3645,2,1,2,18,13000,1007588,8303
NA,NA,45,NA,NA,1,4,1,20,0,1007588,11104
1,97,30,2,350,2,1,1,21,40000,1007588,11103
1,70,32,2,7340,1,1,1,17,60000,1007588,11103
NA,NA,4,NA,NA,2,5,1,2,NA,1007588,11103
NA,NA,3,NA,NA,2,5,1,1,NA,1007588,11103
NA,NA,38,1,10,2,3,2,19,15000,1007588,11103
1,96,20,2,9130,1,5,2,16,15000,1007588,11103
NA,NA,82,NA,NA,2,2,1,23,120000,1007588,8303
NA,NA,43,1,4030,2,1,2,17,0,1007588,11103
1,88,45,6,6260,1,1,2,9,34000,1007588,11103
NA,NA,19,NA,NA,2,5,2,16,0,1007588,11103
NA,NA,16,NA,NA,2,5,2,14,0,1007588,11103
NA,NA,31,1,1550,2,5,2,16,0,1007588,11103
NA,NA,6,NA,NA,1,5,1,3,NA,1007588,11103
NA,NA,3,NA,NA,2,5,1,1,NA,1007588,11103
NA,NA,68,3,430,2,3,1,21,15100,1007588,11104
11,NA,38,1,4810,2,1,1,16,16000,1007588,11103
1,93,37,1,6330,1,1,1,16,45800,1007588,11103
NA,NA,15,NA,NA,1,5,1,12,0,1007588,11103
NA,NA,10,NA,NA,1,5,1,7,NA,1007588,11103
NA,NA,8,NA,NA,2,5,1,5,NA,1007588,11103
1,102,58,1,2630,2,3,1,20,40000,1007588,8303
1,103,54,1,4700,1,1,1,21,80000,1007588,11106
1,82,51,1,136,2,1,1,21,250000,1007588,11106
NA,NA,24,NA,NA,2,5,1,16,1200,1007588,11106
1,66,64,3,2320,1,1,1,21,60000,1007588,11106
1,91,63,2,430,2,1,1,21,30000,1007588,11106
NA,NA,84,NA,NA,2,2,1,16,1300,1007588,11106
NA,NA,80,NA,NA,2,1,1,20,34800,1007588,11106
10,109,26,4,2200,2,5,1,22,30000,1007588,8303
9,144,20,1,4720,2,5,1,19,21200,1007588,8303
1,55,42,1,6200,1,1,1,9,45100,1007588,8303
1,100,35,1,4220,2,1,1,16,26000,1007588,8303
NA,NA,11,NA,NA,2,5,1,9,NA,1007588,8303
1,255,34,1,3255,2,1,1,20,93000,1007588,11103
NA,NA,39,5,9810,1,1,1,21,36000,1007588,11103
NA,NA,5,NA,NA,2,5,1,2,NA,1007588,11103
NA,NA,1,NA,NA,1,5,1,NA,NA,1007588,11103
1,88,50,6,710,1,1,1,22,60000,1007588,8303
1,100,50,1,3320,2,1,1,21,45000,1007588,8303
NA,NA,13,NA,NA,2,5,1,10,NA,1007588,8303
NA,NA,9,NA,NA,2,5,1,6,NA,1007588,8303
1,88,46,1,5240,1,1,1,23,13000,1007588,8303
2,75,22,1,6050,1,5,2,5,20800,1007588,11104
NA,NA,64,NA,NA,2,1,1,9,9500,1007588,11103
NA,NA,68,NA,NA,1,1,1,9,20000,1007588,11103
1,272,33,1,5400,2,5,2,20,30000,1007588,11103
NA,NA,5,NA,NA,2,5,1,1,NA,1007588,11103
NA,NA,19,NA,NA,2,5,1,19,0,1007588,8303
1,91,22,1,4150,2,5,1,21,5000,1007588,8303
1,90,22,1,4060,2,5,1,20,16000,1007588,8303
1,141,20,1,4110,2,5,1,20,4000,1007588,8303
NA,NA,20,2,5620,2,5,1,19,120,1007588,8303
