"","JWTR","JWAP","AGEP","COW","OCCP","SEX","MAR","HICOV","SCHL","PINCP","ADJINC","PUMA"
"8640",1,87,34,5,5700,1,1,1,18,29900,1007588,11106
"8641",NA,NA,27,1,4510,2,1,1,16,0,1007588,11106
"8642",NA,NA,3,NA,NA,1,5,1,1,NA,1007588,11106
"8643",NA,NA,0,NA,NA,2,5,1,NA,NA,1007588,11106
"8825",1,85,56,4,2200,1,1,1,24,90000,1007588,8303
"8826",1,121,49,4,800,2,1,1,21,40000,1007588,8303
"8827",NA,NA,12,NA,NA,2,5,1,9,NA,1007588,8303
"8828",NA,NA,12,NA,NA,2,5,1,9,NA,1007588,8303
"8855",NA,NA,29,3,4610,2,5,2,20,0,1007588,8303
"8999",NA,NA,36,1,6050,2,5,2,16,0,1007588,11103
"9000",NA,NA,10,NA,NA,2,5,1,6,NA,1007588,11103
"9001",NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11103
"9002",NA,NA,4,NA,NA,1,5,1,1,NA,1007588,11103
"9003",1,97,41,1,7200,1,5,2,9,18000,1007588,11103
"9110",NA,NA,50,1,6050,2,2,1,9,24000,1007588,11103
"9111",NA,NA,18,NA,NA,2,5,2,18,0,1007588,11103
"9112",NA,NA,13,NA,NA,1,5,2,10,NA,1007588,11103
"9223",1,92,32,1,1107,2,5,2,22,40000,1007588,11104
"9240",1,87,39,1,7720,1,1,2,16,51000,1007588,11103
"9241",1,87,40,1,7720,2,1,2,16,22000,1007588,11103
"9242",NA,NA,13,NA,NA,1,5,1,8,NA,1007588,11103
"9243",NA,NA,15,NA,NA,2,5,1,13,0,1007588,11103
"9244",NA,NA,30,NA,NA,2,5,2,16,0,1007588,11103
"9245",NA,NA,55,NA,NA,2,2,2,9,0,1007588,11103
"9510",NA,NA,72,NA,NA,2,3,1,20,19100,1007588,8303
"9514",2,205,65,3,5320,2,2,1,21,30800,1007588,8303
"9573",11,NA,37,6,430,2,1,1,19,16000,1007588,11104
"9574",1,115,38,1,2600,1,1,1,19,160300,1007588,11104
"9575",NA,NA,9,NA,NA,1,5,1,7,NA,1007588,11104
"9576",NA,NA,7,NA,NA,1,5,1,5,NA,1007588,11104
"9577",NA,NA,5,NA,NA,1,5,1,3,NA,1007588,11104
"9830",1,81,52,1,5240,2,1,1,17,42000,1007588,11106
"9831",1,111,48,2,4820,1,1,1,22,504000,1007588,11106
"9832",11,NA,29,5,2540,2,3,1,16,48000,1007588,11106
"9833",1,110,21,1,4350,2,5,1,16,18000,1007588,11106
"9912",1,86,54,2,800,2,1,1,21,42630,1007588,11106
"9913",1,48,51,6,3630,1,1,1,19,14000,1007588,11106
"9961",NA,NA,19,NA,NA,1,5,1,18,12000,1007588,8303
"10016",10,94,43,6,2910,1,1,1,21,67850,1007588,8303
"10017",1,116,30,1,2200,2,1,1,22,16000,1007588,8303
"10052",NA,NA,21,NA,NA,2,5,1,16,5100,1007588,11104
"10600",1,108,38,1,4720,2,1,2,19,24000,1007588,8303
"10601",10,85,40,1,4250,1,1,2,16,18000,1007588,8303
"11034",1,132,64,6,2100,2,5,1,23,27000,1007588,11104
"11035",NA,NA,60,NA,NA,1,5,1,21,1000,1007588,11104
"11231",NA,NA,74,NA,NA,2,1,1,16,243800,1007588,8303
